430685732,Rain after Summer,轻音乐|学习|治愈
22707008,潮鳴り,轻音乐|学习|治愈
16846091,Inspire,轻音乐|学习|治愈
26127164,Hyacinth,轻音乐|学习|治愈
5308028,My Soul,轻音乐|学习|治愈
698479,Best Moments (feat. Kondor),轻音乐|学习|治愈
493478198,Lost Love (Instrumental),轻音乐|学习|治愈
36897723,风居住的街道（Piano ver） (翻自 磯村由紀子）,轻音乐|学习|治愈
5307982,Beyond The Memory,轻音乐|学习|治愈
27514120,メインテーマ「永遠の一瞬」,轻音乐|学习|治愈
1457681678,Mystery of Love,轻音乐|清新|流行
1220787,Nature's Path,轻音乐|清新|流行
2096103518,serendipity,轻音乐|清新|流行
1880950663,泪 光 ✧,轻音乐|清新|流行
1220792,Cool Forest Rain,轻音乐|清新|流行
1220113,Moon River 月亮河,轻音乐|清新|流行
1497056948,The Campfire,轻音乐|清新|流行
2031061946,森林卷起行囊,轻音乐|清新|流行
1403429718,Lyla,轻音乐|清新|流行
489066278,Historiette No. 2,轻音乐|清新|流行
1939751157,Lullaby,轻音乐|治愈|流行
2068945929,思念的月光下,轻音乐|治愈|流行
1457681678,Mystery of Love,轻音乐|治愈|流行
16139397,This Place Is a Shelter,轻音乐|治愈|流行
2007289550,瓶子里的小船,轻音乐|治愈|流行
2075511208,大海流转星辰,轻音乐|治愈|流行
1983780110,green to blue (slowed + reverbed),轻音乐|治愈|流行
1869297173,Shin,轻音乐|治愈|流行
2640782,Unbraiding the Sun,轻音乐|治愈|流行
28358233,"53º 40,6 N 008º 06,3 E",轻音乐|治愈|流行
1415628,Aimer,欧美|小语种|流行
5048096,Je fais de toi mon essentiel (avec Anne-Laure Girbal),欧美|小语种|流行
1371329,Die Zugsequenz,欧美|小语种|流行
993453,The Phantom Of The Opera,欧美|小语种|流行
1302013,They Live In You,欧美|小语种|流行
993168,Memory,欧美|小语种|流行
5055024,Le Temps Des Cathedrales,欧美|小语种|流行
5045105,"rebecca - reprise mrs. danvers, ""ich"", schatten",欧美|小语种|流行
5041149,Je dors sur des roses,欧美|小语种|流行
5045675,Adieu (Et TÂChe D'ÊTre Heureux),欧美|小语种|流行
1381704542,Macarena,欧美|流行|世界音乐
1369733013,Portofino,欧美|流行|世界音乐
1376076182,Countdown,欧美|流行|世界音乐
1474719424,Sommerwind,欧美|流行|世界音乐
571336919,Land in Sicht,欧美|流行|世界音乐
2068190,Warten auf Dich,欧美|流行|世界音乐
1360875159,Vente pa'ca (feat. Aridian) [Coverversion],欧美|流行|世界音乐
554407504,Mein erstes Lied,欧美|流行|世界音乐
1445912771,Wo bist du,欧美|流行|世界音乐
1485092714,Wonn I Donn Hoam Kimm,欧美|流行|世界音乐
521731469,La Javanaise,爵士|Bossa Nova|小语种
19861312,Encore une Fois,爵士|Bossa Nova|小语种
3415455,La Vie En Rose,爵士|Bossa Nova|小语种
29578288,J'ai deux amours,爵士|Bossa Nova|小语种
25388874,Les Feuilles Mortes,爵士|Bossa Nova|小语种
22358359,Jardin d'hiver,爵士|Bossa Nova|小语种
5132082,Dans Mon le,爵士|Bossa Nova|小语种
1788707,Week end à Rome,爵士|Bossa Nova|小语种
3781857,Que reste-t-il,爵士|Bossa Nova|小语种
2924189,Volons Vers La Lune,爵士|Bossa Nova|小语种
25731320,男孩别哭,华语|雷鬼
573168698,Freedom,华语|雷鬼
527855146,蓝山,华语|雷鬼
27526085,Good Love-Jado,华语|雷鬼
77455,从命,华语|雷鬼
399555086,Someday,华语|雷鬼
1494568766,像糖一样的姑娘,华语|雷鬼
473541934,小雪,华语|雷鬼
1384482448,习惯就好,华语|雷鬼
1880157052,肆无忌惮的奋力奔跑,华语|雷鬼
3234007,Sotto le Stelle del Jazz,小语种|欧美|性感
28870142,L'Alfabeto Degli Amanti,小语种|欧美|性感
1825709,Fly Me to the Moon,小语种|欧美|性感
20595046,Por Una Cabeza,小语种|欧美|性感
1419453,OGNI COSA,小语种|欧美|性感
21404367,A Man Without Love,小语种|欧美|性感
28482611,Bella Ciao,小语种|欧美|性感
3885322,Fengari,小语种|欧美|性感
28879568,Via con me,小语种|欧美|性感
16600821,Il Cielo Ha Una Porta Sola,小语种|欧美|性感
28280555,Kiss Of Death,欧美|蓝调|爵士
28455013,Move,欧美|蓝调|爵士
16660836,What Kind Of Woman Is This?,欧美|蓝调|爵士
16942883,DNA,欧美|蓝调|爵士
16660840,Ain't No Sunshine,欧美|蓝调|爵士
1360101,Let The Good Times Roll,欧美|蓝调|爵士
1890531,I Wonder,欧美|蓝调|爵士
27047031,Reconsider Baby,欧美|蓝调|爵士
28455009,The Worst Is yet to Come,欧美|蓝调|爵士
26641663,Help the Poor,欧美|蓝调|爵士
480353,いつも何度でも,轻音乐|钢琴|ACG
469772,「籠のなか」,轻音乐|钢琴|ACG
4904689,もののけ姫,轻音乐|钢琴|ACG
406238,Flower Dance,轻音乐|钢琴|ACG
22707008,潮鳴り,轻音乐|钢琴|ACG
448065,孤独な巡礼,轻音乐|钢琴|ACG
28411784,夏祭り、夢花火。,轻音乐|钢琴|ACG
448119,騎士王の誇り,轻音乐|钢琴|ACG
34986118,-Paradox-,轻音乐|钢琴|ACG
528309,"One more time, One more chance Piano ver",轻音乐|钢琴|ACG
1357628744,パレード,日语|ACG|治愈
514765413,糸,日语|ACG|治愈
40915401,Intro,日语|ACG|治愈
557583472,水星,日语|ACG|治愈
1320572968,砂漠,日语|ACG|治愈
1387099644,憂一乗,日语|ACG|治愈
480097178,月がきれい,日语|ACG|治愈
515598387,ラプンツェル（Cover 初音ミク）,日语|ACG|治愈
