那些你熟悉却又不知道名字的轻音乐,26467411
绿野乡音•山雾暧昧 沉浸自然海洋里,8455794285
悠寂意境｜雾雨蒙蒙 山间清凉 酣然如梦,8306857053
【珍藏】必听的一百五十首音乐剧名曲,404757132
【德语】莱茵河畔之风拂过心田,2653868848
法语爵士|红酒与玫瑰浪漫邂逅,1997190595
国人雷鬼 Ι 探索不拘一格的玩性洒脱,2143660964
【柔情且缠绵】那些迷死人的意大利男人们,74992314
深情布鲁斯，浓情老酒馆。,939320758
"〖唯美纯音〗不需要歌词,也可以打动你的心",112875926
日系温柔女声| 沐浴在歌声中的暖阳下,2088799380
深度睡眠 |重度失眠者专用歌单,331841455
古典清香 I 我的茶馆里住着巴赫与肖邦,2065854146
100首华语民谣，因为懂得才有共鸣,2312165875
《美国乡村乐图鉴与简史》,4975456668
小酒馆的微醺需要腔调和情怀,49242031
「Cool Jazz」冷爵士让你全身心放松,113780871
钢琴后摇 I 初雪点地，窸窣低语,513217941
【古典音乐】治疗焦虑症的良药,78674080
可爱摇滚｜一剂抵挡春困的上好良药,6666112560
黑胶唱片机|微醺情调耳边低语,2651898154
复古慵懒 | 当经典摇滚被爵士如此演绎,4974682089
助眠辑 | 自然音，伴灵动乐符萦绕耳畔,2075587022
欧美民谣 I 往昔璀璨如钻 却又锈迹斑斑,997386069
黑胶酒馆|耳畔的浪漫眼中的你,2125737991
日本人气唱见，每人一首良曲,94284266
增强记忆性古典音乐（适合学习作业使用）,2984653
空灵纯音 ' 孤独症患者的绮丽梦境,411796573
Bossa Nova｜聆听热情桑巴中的慵懒时光,2879306923
東方钢琴祭：幻梦终醒 本无不散之宴,913908853
世界顶级沙发酒吧音乐。,11067348
「居家古风」如何把生活过成诗,2685449094
「英伦摇滚」唱片中的昔日时光,934792457
纯音 | 静淌时隙悄然掠过 | 助眠,132259437
水果味汽水｜清甜软萌音捕获你的心,689121986
钢琴独奏 | 当世界喧嚣时 宇宙依然宁静,5273305040
想开家茶馆，放首民谣给从前,919939187
『纯音乐』当雨滴敲响琴键,2420545066
『小酒馆』剑与魔法 · 旅途中的休憩时光,800496969
古典｜从巴洛克到浪漫的你，温柔绵长。,317803115
国风新潮大赏 | 歌声岂合世间闻,3001035934
华语民谣 I 孤独的心诠释诗意和远方,514947114
『物哀纯音』漫天飞舞的红叶，暮色黄昏,899361402
日系治愈：无法抗拒的温柔男声,2928393485
北欧民谣 | 赐你一剂澄净安逸的心灵圣药,1997189512
物哀纯音丨花开于彼岸 魂落于忘川,5026417815
「日语民谣」月色中的浅吟低唱,806728741
诗人篇 | 那些藏在音乐里的文学宝藏,4893733399
电影中的钢琴曲｜最会讲故事²,156659312
公路音乐|纵情追逐梦想与远方,2057923710
冰镇软萌音｜不能自已的Kawaii电音,873024264
少女心ღ｜恋爱是颗苹果糖,805407063
45度角仰望天空才是听朋克的正确姿势,367179654
【日系纯音向】夏树眠 蝉在叫 人坏掉❤️,77629049
华语独立乐团｜将温柔塞满黄昏,3233164347
「Jazz Hiphop纯音」被窝里的小咖啡馆,1984018874
励志硬曲：前奏崛起 向著生活殺去,8686080533
